*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
29307.116519	4.71033e+07	6.1905e+07	9.90938e+07	9.92585e+07	134072    	508225    	61122.7   	64150.9   	95017.7   
29400.749476	4.71547e+07	6.20152e+07	9.93881e+07	9.95532e+07	134265    	510338    	61243     	64271.9   	95202.6   
29494.382433	4.7206e+07	6.21253e+07	9.96824e+07	9.98479e+07	134458    	512452    	61363.4   	64392.8   	95387.4   
29588.015390	4.72574e+07	6.22354e+07	9.99767e+07	1.00143e+08	134651    	514565    	61483.7   	64513.8   	95572.3   
29681.648346	4.73088e+07	6.23455e+07	1.00271e+08	1.00437e+08	134844    	516679    	61604.1   	64634.7   	95757.2   
29775.281303	4.73601e+07	6.24556e+07	1.00565e+08	1.00732e+08	135037    	518792    	61724.4   	64755.7   	95942.1   
29868.914260	4.74115e+07	6.25658e+07	1.0086e+08	1.01027e+08	135230    	520905    	61844.8   	64876.6   	96127     
29962.547217	4.74629e+07	6.26759e+07	1.01154e+08	1.01321e+08	135423    	523019    	61965.1   	64997.6   	96311.8   
30056.180174	4.75122e+07	6.27836e+07	1.01447e+08	1.01615e+08	135613    	525153    	62084.6   	65117.4   	96495.1   
30149.813131	4.75602e+07	6.28897e+07	1.0174e+08	1.01908e+08	135800    	527301    	62203.4   	65236.6   	96677.3   
30243.446088	4.76082e+07	6.29958e+07	1.02033e+08	1.02202e+08	135987    	529450    	62322.3   	65355.7   	96859.5   
30337.079045	4.76562e+07	6.31019e+07	1.02326e+08	1.02495e+08	136175    	531598    	62441.1   	65474.8   	97041.8   
30430.712002	4.77042e+07	6.32079e+07	1.02619e+08	1.02788e+08	136362    	533746    	62560     	65593.9   	97224     
30524.344959	4.77522e+07	6.3314e+07	1.02912e+08	1.03081e+08	136549    	535894    	62678.8   	65713     	97406.2   
30617.977916	4.78002e+07	6.34201e+07	1.03205e+08	1.03375e+08	136737    	538042    	62797.7   	65832.2   	97588.4   
30711.610873	4.78482e+07	6.35262e+07	1.03498e+08	1.03668e+08	136924    	540191    	62916.5   	65951.3   	97770.6   
