*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
43820.224843	5.31113e+07	7.65045e+07	1.43812e+08	1.44024e+08	160504    	859511    	78791.4   	81777     	122056    
43913.857800	5.31411e+07	7.65867e+07	1.44096e+08	1.44308e+08	160657    	861905    	78900.1   	81885.2   	122223    
44007.490757	5.31708e+07	7.66686e+07	1.4438e+08	1.44592e+08	160811    	864303    	79008.7   	81993.2   	122389    
44101.123713	5.31986e+07	7.67478e+07	1.44663e+08	1.44875e+08	160960    	866735    	79115.9   	82099.9   	122554    
44194.756670	5.32264e+07	7.6827e+07	1.44946e+08	1.45158e+08	161110    	869167    	79223.1   	82206.6   	122718    
44288.389627	5.32542e+07	7.69062e+07	1.45228e+08	1.45441e+08	161259    	871599    	79330.4   	82313.3   	122882    
44382.022584	5.3282e+07	7.69854e+07	1.45511e+08	1.45724e+08	161409    	874030    	79437.6   	82420     	123047    
44475.655541	5.33097e+07	7.70646e+07	1.45794e+08	1.46007e+08	161558    	876462    	79544.8   	82526.7   	123211    
44569.288498	5.33375e+07	7.71438e+07	1.46076e+08	1.46289e+08	161708    	878894    	79652.1   	82633.4   	123376    
44662.921455	5.33653e+07	7.7223e+07	1.46359e+08	1.46572e+08	161857    	881326    	79759.3   	82740.1   	123540    
44756.554412	5.33931e+07	7.73022e+07	1.46642e+08	1.46855e+08	162007    	883758    	79866.5   	82846.8   	123705    
44850.187369	5.34209e+07	7.73814e+07	1.46925e+08	1.47138e+08	162156    	886190    	79973.7   	82953.5   	123869    
44943.820326	5.34487e+07	7.74606e+07	1.47207e+08	1.47421e+08	162306    	888622    	80081     	83060.2   	124034    
45037.453283	5.34765e+07	7.75398e+07	1.4749e+08	1.47704e+08	162455    	891054    	80188.2   	83166.9   	124198    
45131.086240	5.35043e+07	7.7619e+07	1.47773e+08	1.47987e+08	162605    	893486    	80295.4   	83273.6   	124362    
45224.719197	5.35321e+07	7.76982e+07	1.48055e+08	1.4827e+08	162755    	895918    	80402.7   	83380.2   	124527    
45318.352154	5.35599e+07	7.77774e+07	1.48338e+08	1.48553e+08	162904    	898350    	80509.9   	83486.9   	124691    
45411.985110	5.35877e+07	7.78566e+07	1.48621e+08	1.48836e+08	163054    	900782    	80617.1   	83593.6   	124856    
45505.618067	5.36155e+07	7.79358e+07	1.48903e+08	1.49119e+08	163203    	903214    	80724.3   	83700.3   	125020    
45599.251024	5.36433e+07	7.8015e+07	1.49186e+08	1.49402e+08	163353    	905646    	80831.6   	83807     	125185    
45692.883981	5.36711e+07	7.80941e+07	1.49469e+08	1.49685e+08	163502    	908078    	80938.8   	83913.7   	125349    
45786.516938	5.36989e+07	7.81733e+07	1.49752e+08	1.49967e+08	163652    	910510    	81046     	84020.4   	125514    
45880.149895	5.37267e+07	7.82525e+07	1.50034e+08	1.5025e+08	163801    	912942    	81153.3   	84127.1   	125678    
45973.782852	5.37545e+07	7.83317e+07	1.50317e+08	1.50533e+08	163951    	915374    	81260.5   	84233.8   	125842    
46067.415809	5.3781e+07	7.8409e+07	1.50599e+08	1.50815e+08	164098    	917833    	81366.7   	84339.5   	126005    
46161.048766	5.3807e+07	7.84854e+07	1.5088e+08	1.51097e+08	164243    	920303    	81472.4   	84444.8   	126168    
46254.681723	5.3833e+07	7.85619e+07	1.51162e+08	1.51379e+08	164389    	922772    	81578.2   	84550.1   	126330    
46348.314680	5.38589e+07	7.86383e+07	1.51444e+08	1.51661e+08	164535    	925241    	81684     	84655.4   	126493    
46441.947637	5.38849e+07	7.87148e+07	1.51725e+08	1.51942e+08	164680    	927711    	81789.8   	84760.7   	126655    
46535.580594	5.39109e+07	7.87912e+07	1.52007e+08	1.52224e+08	164826    	930180    	81895.5   	84866     	126818    
46629.213551	5.39369e+07	7.88677e+07	1.52288e+08	1.52506e+08	164972    	932650    	82001.3   	84971.3   	126980    
46722.846507	5.39628e+07	7.89441e+07	1.5257e+08	1.52788e+08	165118    	935119    	82107.1   	85076.6   	127143    
46816.479464	5.39888e+07	7.90206e+07	1.52851e+08	1.5307e+08	165263    	937589    	82212.8   	85181.9   	127305    
46910.112421	5.40148e+07	7.90971e+07	1.53133e+08	1.53351e+08	165409    	940058    	82318.6   	85287.2   	127468    
47003.745378	5.40408e+07	7.91735e+07	1.53415e+08	1.53633e+08	165555    	942528    	82424.4   	85392.5   	127630    
47097.378335	5.40667e+07	7.925e+07 	1.53696e+08	1.53915e+08	165701    	944997    	82530.2   	85497.9   	127793    
47191.011292	5.40927e+07	7.93264e+07	1.53978e+08	1.54197e+08	165846    	947467    	82635.9   	85603.2   	127955    
47284.644249	5.41187e+07	7.94029e+07	1.54259e+08	1.54478e+08	165992    	949936    	82741.7   	85708.5   	128118    
47378.277206	5.41447e+07	7.94793e+07	1.54541e+08	1.5476e+08	166138    	952406    	82847.5   	85813.8   	128280    
47471.910163	5.41707e+07	7.95558e+07	1.54822e+08	1.55042e+08	166283    	954875    	82953.3   	85919.1   	128443    
47565.543120	5.41966e+07	7.96322e+07	1.55104e+08	1.55324e+08	166429    	957345    	83059     	86024.4   	128605    
47659.176077	5.42226e+07	7.97087e+07	1.55385e+08	1.55605e+08	166575    	959814    	83164.8   	86129.7   	128768    
47752.809034	5.42486e+07	7.97852e+07	1.55667e+08	1.55887e+08	166721    	962283    	83270.6   	86235     	128930    
47846.441991	5.42746e+07	7.98616e+07	1.55949e+08	1.56169e+08	166866    	964753    	83376.3   	86340.3   	129093    
47940.074948	5.43005e+07	7.99381e+07	1.5623e+08	1.56451e+08	167012    	967222    	83482.1   	86445.6   	129255    
48033.707904	5.43259e+07	8.00136e+07	1.56511e+08	1.56732e+08	167156    	969705    	83587.4   	86550.4   	129417    
48127.340861	5.43502e+07	8.00875e+07	1.56792e+08	1.57013e+08	167299    	972211    	83691.7   	86654.4   	129578    
48220.973818	5.43746e+07	8.01614e+07	1.57072e+08	1.57293e+08	167441    	974718    	83796.1   	86758.4   	129738    
48314.606775	5.43989e+07	8.02353e+07	1.57353e+08	1.57574e+08	167583    	977224    	83900.4   	86862.3   	129899    
48408.239732	5.44232e+07	8.03092e+07	1.57633e+08	1.57855e+08	167725    	979730    	84004.8   	86966.3   	130059    
48501.872689	5.44475e+07	8.03831e+07	1.57914e+08	1.58135e+08	167867    	982236    	84109.1   	87070.2   	130220    
48595.505646	5.44719e+07	8.0457e+07	1.58194e+08	1.58416e+08	168009    	984743    	84213.5   	87174.2   	130381    
48689.138603	5.44962e+07	8.05309e+07	1.58475e+08	1.58697e+08	168152    	987249    	84317.8   	87278.2   	130541    
48782.771560	5.45205e+07	8.06048e+07	1.58755e+08	1.58977e+08	168294    	989755    	84422.2   	87382.1   	130702    
48876.404517	5.45448e+07	8.06787e+07	1.59036e+08	1.59258e+08	168436    	992261    	84526.5   	87486.1   	130863    
48970.037474	5.45692e+07	8.07526e+07	1.59316e+08	1.59539e+08	168578    	994767    	84630.9   	87590.1   	131023    
49063.670431	5.45935e+07	8.08265e+07	1.59597e+08	1.59819e+08	168720    	997274    	84735.2   	87694     	131184    
49157.303388	5.46178e+07	8.09004e+07	1.59877e+08	1.601e+08 	168862    	999780    	84839.5   	87798     	131344    
49250.936345	5.46421e+07	8.09743e+07	1.60158e+08	1.60381e+08	169005    	1.00229e+06	84943.9   	87902     	131505    
49344.569301	5.46665e+07	8.10482e+07	1.60438e+08	1.60661e+08	169147    	1.00479e+06	85048.2   	88005.9   	131666    
49438.202258	5.46908e+07	8.11221e+07	1.60719e+08	1.60942e+08	169289    	1.0073e+06	85152.6   	88109.9   	131826    
49531.835215	5.47151e+07	8.1196e+07	1.60999e+08	1.61223e+08	169431    	1.0098e+06	85256.9   	88213.9   	131987    
49625.468172	5.47395e+07	8.12699e+07	1.6128e+08	1.61503e+08	169573    	1.01231e+06	85361.3   	88317.8   	132147    
49719.101129	5.47638e+07	8.13438e+07	1.6156e+08	1.61784e+08	169715    	1.01482e+06	85465.6   	88421.8   	132308    
49812.734086	5.47881e+07	8.14177e+07	1.61841e+08	1.62065e+08	169858    	1.01732e+06	85570     	88525.8   	132469    
49906.367043	5.48124e+07	8.14916e+07	1.62121e+08	1.62345e+08	170000    	1.01983e+06	85674.3   	88629.7   	132629    
50000.000000	5.48368e+07	8.15655e+07	1.62402e+08	1.62626e+08	170142    	1.02234e+06	85778.7   	88733.7   	132790    
