*Multiplicity	bhat	bhat error	b	b error
1	1	0.114832	11.65149691	7.16432265
2	0.90466549	0.0654445	9.535814009	1.487090918
3	0.840783502	0.0582981	8.23664004	0.603306135
4	0.78840014	0.0546021	7.242276644	0.507542873
5	0.73835178	0.0511212	6.351969102	0.440159684
6	0.683653902	0.0473333	5.445707592	0.377037748
7	0.629395779	0.0435767	4.615612873	0.31956552
8	0.564038629	0.0390517	3.706802277	0.256643664
9	0.499966808	0.0346156	2.912487503	0.201648403
10	0.411716725	0.0285055	1.97505295	0.136744205
11	0.335250561	0.0232113	1.309545978	0.090667314
12	0.265762003	0.0184002	0.822938729	0.056976689
13	0.183791454	0.0127249	0.393579392	0.027249687
14	0.123912173	0.00857916	0.178899724	0.012386276
15	0.092727379	0.00642005	0.100183845	0.00693631
16	0.055415208	0.00383672	0.035779945	0.002477262
17	0.035047655	0.00242655	0.014311978	0.000990904
