*Multiplicity	bhat	bhat error	b	b error
1	1	0.0160178	5.99929167	0.495125324
2	0.903592486	0.0141325	4.898297947	0.372241727
3	0.828222961	0.0126876	4.115233759	0.285754824
4	0.757405877	0.0116276	3.441575633	0.232209462
5	0.684708841	0.0109797	2.8126251	0.207405077
6	0.619457603	0.0100994	2.302094528	0.168747497
7	0.545352361	0.00919245	1.78424452	0.136389845
8	0.467018157	0.00843584	1.308481262	0.109614759
9	0.390158005	0.0076178	0.913231787	0.083096315
10	0.310493139	0.00696339	0.578367648	0.062813396
11	0.239508653	0.00705521	0.344145736	0.048991269
12	0.176383872	0.00607015	0.186645586	0.03003291
13	0.115186986	0.00622557	0.079598853	0.019081094
14	0.072008414	0.00727034	0.031107598	0.012855806
15	0.049397365	0.00671788	0.014638869	0.007184399
16	0.021389686	0.00917764	0.002744788	0.003503747
17	0.012349341	0.010528	0.000914929	0.001740179
