*Multiplicity	bhat	bhat error	b	b error
1	1	0.00845062	10.71309426	0.607764698
2	0.920707656	0.00741819	9.081517724	0.445590758
3	0.869023614	0.00654541	8.09055065	0.325006088
4	0.821921717	0.00612294	7.237287709	0.268735051
5	0.779276488	0.00593906	6.505760513	0.254146349
6	0.736651217	0.00570722	5.813514329	0.232173722
7	0.696281566	0.00536338	5.193794009	0.197600349
8	0.651456045	0.00514317	4.546583407	0.180820403
9	0.607618823	0.00485394	3.955281189	0.165075451
10	0.564999987	0.00470914	3.419887353	0.148371752
11	0.522459893	0.00441518	2.924292704	0.126935987
12	0.476134115	0.00409301	2.428698056	0.105687283
13	0.424994065	0.00379153	1.934998607	0.09047963
14	0.375255035	0.00361347	1.508578738	0.07645014
15	0.327015356	0.00337519	1.145648049	0.062083572
16	0.278042198	0.0030922	0.828202146	0.049580614
17	0.230372493	0.00288386	0.568559826	0.037427077
18	0.18163913	0.00274055	0.353454692	0.028977681
19	0.141699372	0.00263982	0.215105134	0.020279752
20	0.101294063	0.00269277	0.109921566	0.014237277
21	0.071005571	0.00265411	0.054013183	0.009116142
22	0.044112974	0.00337797	0.020847194	0.006614596
23	0.03257959	0.00319651	0.011371197	0.004070466
24	0.018809835	0.00451266	0.003790399	0.002763616
25	0.013300562	0.00451188	0.001895199	0.001454641
