*Multiplicity	bhat	bhat error	b	b error
1	1	0.0094502	7.715611791	0.331073988
2	0.898176605	0.00833386	6.224347713	0.248810059
3	0.819998183	0.00740699	5.187954375	0.18524787
4	0.743886482	0.00682415	4.269565711	0.153831275
5	0.671404155	0.00627524	3.478070786	0.127358306
6	0.595397731	0.00574835	2.735172481	0.104861915
7	0.516551436	0.00517161	2.058721091	0.081549738
8	0.429718922	0.00471138	1.424752155	0.064853333
9	0.350458707	0.00428761	0.947641513	0.048443876
10	0.27171986	0.00398529	0.569656598	0.034805661
11	0.198808521	0.00388067	0.304958228	0.025568722
12	0.134428792	0.00405053	0.139429594	0.016532768
13	0.094309966	0.00422826	0.068625503	0.011308333
14	0.063986199	0.0042734	0.031589517	0.006863312
15	0.035645817	0.00484726	0.009803643	0.003676262
16	0.016803599	0.00594523	0.002178587	0.001619525
