*Tele EF EB theta(degree) phi(degree)
   0 16  7       31.4759     180.376
   0 16  8       31.4775     179.712
   0 16  9       31.4826     179.048
   0 16 10       31.4911     178.383
   0 16 11       31.5030     177.719
   0 16 12       31.5184     177.055
   0 16 13       31.5372     176.391
   0 16 14       31.5594     175.728
   0 16 15       31.5851     175.066
   0 16 16       31.6142     174.404
   0 16 17       31.6467     173.743
   0 16 18       31.6826     173.084
   0 16 19       31.7218     172.426
   0 16 20       31.7644     171.770
   0 16 21       31.8104     171.116
   0 16 22       31.8597     170.463
   0 16 23       31.9123     169.813
   0 16 24       31.9682     169.165
   0 16 25       32.0273     168.519
   0 16 26       32.0897     167.876
   0 16 27       32.1553     167.235
   0 16 28       32.2240     166.597
   0 16 29       32.2959     165.963
   0 16 30       32.3708     165.331
   0 16 31       32.4488     164.703
   0 17  0       31.9048     184.954
   0 17  1       31.8832     184.303
   0 17  2       31.8649     183.652
   0 17  3       31.8498     182.998
   0 17  4       31.8381     182.344
   0 17  5       31.8298     181.689
   0 17  6       31.8247     181.033
   0 17  7       31.8231     180.376
   0 17  8       31.8249     179.718
   0 17  9       31.8300     179.061
   0 17 10       31.8385     178.403
   0 17 11       31.8504     177.745
   0 17 12       31.8657     177.087
   0 17 13       31.8844     176.430
   0 17 14       31.9064     175.773
   0 17 15       31.9319     175.117
   0 17 16       31.9607     174.462
   0 17 17       31.9929     173.808
   0 17 18       32.0284     173.155
   0 17 19       32.0673     172.504
   0 17 20       32.1095     171.854
   0 17 21       32.1550     171.205
   0 17 22       32.2038     170.559
   0 17 23       32.2558     169.915
   0 17 24       32.3111     169.273
   0 17 25       32.3696     168.633
   0 17 26       32.4312     167.995
   0 17 27       32.4961     167.360
   0 17 28       32.5640     166.728
   0 17 29       32.6351     166.099
   0 17 30       32.7092     165.473
   0 17 31       32.7863     164.850
   0 18  0       32.2500     184.909
   0 18  1       32.2287     184.265
   0 18  2       32.2108     183.620
   0 18  3       32.1961     182.973
   0 18  4       32.1847     182.325
   0 18  5       32.1766     181.676
   0 18  6       32.1718     181.026
   0 18  7       32.1703     180.375
   0 18  8       32.1721     179.724
   0 18  9       32.1773     179.073
   0 18 10       32.1859     178.422
   0 18 11       32.1977     177.770
   0 18 12       32.2130     177.119
   0 18 13       32.2315     176.468
   0 18 14       32.2534     175.818
   0 18 15       32.2787     175.168
   0 18 16       32.3072     174.519
   0 18 17       32.3391     173.871
   0 18 18       32.3743     173.225
   0 18 19       32.4128     172.579
   0 18 20       32.4545     171.935
   0 18 21       32.4996     171.293
   0 18 22       32.5478     170.653
   0 18 23       32.5993     170.015
   0 18 24       32.6540     169.378
   0 18 25       32.7118     168.744
   0 18 26       32.7728     168.113
   0 18 27       32.8369     167.483
   0 18 28       32.9041     166.857
   0 18 29       32.9744     166.233
   0 18 30       33.0476     165.613
   0 18 31       33.1239     164.995
   0 19  0       32.5950     184.866
   0 19  1       32.5742     184.228
   0 19  2       32.5567     183.588
   0 19  3       32.5423     182.947
   0 19  4       32.5312     182.306
   0 19  5       32.5233     181.663
   0 19  6       32.5187     181.019
   0 19  7       32.5174     180.375
   0 19  8       32.5193     179.730
   0 19  9       32.5246     179.085
   0 19 10       32.5332     178.440
   0 19 11       32.5450     177.795
   0 19 12       32.5602     177.150
   0 19 13       32.5786     176.505
   0 19 14       32.6004     175.861
   0 19 15       32.6254     175.218
   0 19 16       32.6537     174.575
   0 19 17       32.6853     173.933
   0 19 18       32.7202     173.293
   0 19 19       32.7583     172.654
   0 19 20       32.7996     172.016
   0 19 21       32.8441     171.380
   0 19 22       32.8919     170.745
   0 19 23       32.9428     170.113
   0 19 24       32.9969     169.482
   0 19 25       33.0541     168.854
   0 19 26       33.1144     168.228
   0 19 27       33.1778     167.604
   0 19 28       33.2443     166.983
   0 19 29       33.3138     166.365
   0 19 30       33.3862     165.750
   0 19 31       33.4616     165.137
   0 20  0       32.9400     184.823
   0 20  1       32.9197     184.191
   0 20  2       32.9024     183.557
   0 20  3       32.8884     182.923
   0 20  4       32.8776     182.287
   0 20  5       32.8700     181.650
   0 20  6       32.8656     181.013
   0 20  7       32.8644     180.375
   0 20  8       32.8665     179.736
   0 20  9       32.8718     179.097
   0 20 10       32.8804     178.458
   0 20 11       32.8922     177.819
   0 20 12       32.9073     177.181
   0 20 13       32.9256     176.542
   0 20 14       32.9472     175.904
   0 20 15       32.9721     175.267
   0 20 16       33.0001     174.630
   0 20 17       33.0314     173.994
   0 20 18       33.0660     173.360
   0 20 19       33.1037     172.726
   0 20 20       33.1446     172.094
   0 20 21       33.1887     171.464
   0 20 22       33.2360     170.835
   0 20 23       33.2863     170.209
   0 20 24       33.3398     169.584
   0 20 25       33.3964     168.961
   0 20 26       33.4561     168.341
   0 20 27       33.5188     167.723
   0 20 28       33.5845     167.107
   0 20 29       33.6532     166.494
   0 20 30       33.7248     165.884
   0 20 31       33.7994     165.277
   0 21  0       33.2849     184.781
   0 21  1       33.2650     184.155
   0 21  2       33.2481     183.527
   0 21  3       33.2344     182.898
   0 21  4       33.2239     182.269
   0 21  5       33.2165     181.638
   0 21  6       33.2123     181.007
   0 21  7       33.2113     180.375
   0 21  8       33.2135     179.742
   0 21  9       33.2189     179.109
   0 21 10       33.2275     178.476
   0 21 11       33.2393     177.843
   0 21 12       33.2543     177.210
   0 21 13       33.2725     176.578
   0 21 14       33.2940     175.946
   0 21 15       33.3186     175.314
   0 21 16       33.3465     174.684
   0 21 17       33.3775     174.054
   0 21 18       33.4117     173.425
   0 21 19       33.4490     172.798
   0 21 20       33.4896     172.172
   0 21 21       33.5332     171.547
   0 21 22       33.5800     170.924
   0 21 23       33.6298     170.303
   0 21 24       33.6827     169.684
   0 21 25       33.7387     169.067
   0 21 26       33.7977     168.452
   0 21 27       33.8597     167.839
   0 21 28       33.9247     167.229
   0 21 29       33.9927     166.621
   0 21 30       34.0635     166.016
   0 21 31       34.1372     165.414
   0 22  0       33.6297     184.739
   0 22  1       33.6102     184.119
   0 22  2       33.5937     183.498
   0 22  3       33.5803     182.875
   0 22  4       33.5700     182.251
   0 22  5       33.5629     181.626
   0 22  6       33.5589     181.000
   0 22  7       33.5580     180.374
   0 22  8       33.5603     179.748
   0 22  9       33.5658     179.121
   0 22 10       33.5744     178.494
   0 22 11       33.5862     177.867
   0 22 12       33.6012     177.240
   0 22 13       33.6193     176.613
   0 22 14       33.6406     175.987
   0 22 15       33.6651     175.361
   0 22 16       33.6927     174.737
   0 22 17       33.7234     174.113
   0 22 18       33.7573     173.490
   0 22 19       33.7943     172.868
   0 22 20       33.8344     172.248
   0 22 21       33.8776     171.629
   0 22 22       33.9239     171.011
   0 22 23       33.9732     170.396
   0 22 24       34.0256     169.782
   0 22 25       34.0810     169.170
   0 22 26       34.1393     168.561
   0 22 27       34.2007     167.953
   0 22 28       34.2649     167.348
   0 22 29       34.3321     166.746
   0 22 30       34.4022     166.146
   0 22 31       34.4751     165.549
   0 23  0       33.9744     184.699
   0 23  1       33.9552     184.084
   0 23  2       33.9391     183.468
   0 23  3       33.9260     182.851
   0 23  4       33.9160     182.233
   0 23  5       33.9091     181.614
   0 23  6       33.9053     180.994
   0 23  7       33.9046     180.374
   0 23  8       33.9071     179.753
   0 23  9       33.9126     179.132
   0 23 10       33.9212     178.511
   0 23 11       33.9330     177.890
   0 23 12       33.9479     177.269
   0 23 13       33.9659     176.648
   0 23 14       33.9871     176.027
   0 23 15       34.0114     175.408
   0 23 16       34.0387     174.788
   0 23 17       34.0692     174.170
   0 23 18       34.1028     173.553
   0 23 19       34.1394     172.937
   0 23 20       34.1791     172.322
   0 23 21       34.2219     171.709
   0 23 22       34.2677     171.097
   0 23 23       34.3165     170.487
   0 23 24       34.3683     169.878
   0 23 25       34.4231     169.272
   0 23 26       34.4809     168.668
   0 23 27       34.5415     168.065
   0 23 28       34.6051     167.466
   0 23 29       34.6715     166.868
   0 23 30       34.7408     166.273
   0 23 31       34.8129     165.681
   0 24  0       34.3188     184.659
   0 24  1       34.3001     184.050
   0 24  2       34.2843     183.440
   0 24  3       34.2716     182.828
   0 24  4       34.2619     182.216
   0 24  5       34.2552     181.603
   0 24  6       34.2516     180.988
   0 24  7       34.2510     180.374
   0 24  8       34.2536     179.759
   0 24  9       34.2592     179.143
   0 24 10       34.2678     178.528
   0 24 11       34.2796     177.912
   0 24 12       34.2945     177.297
   0 24 13       34.3124     176.682
   0 24 14       34.3334     176.067
   0 24 15       34.3575     175.453
   0 24 16       34.3846     174.839
   0 24 17       34.4148     174.227
   0 24 18       34.4481     173.615
   0 24 19       34.4844     173.004
   0 24 20       34.5237     172.395
   0 24 21       34.5661     171.787
   0 24 22       34.6114     171.181
   0 24 23       34.6597     170.576
   0 24 24       34.7110     169.973
   0 24 25       34.7652     169.372
   0 24 26       34.8223     168.773
   0 24 27       34.8823     168.176
   0 24 28       34.9452     167.581
   0 24 29       35.0109     166.989
   0 24 30       35.0794     166.399
   0 24 31       35.1507     165.811
   0 25  0       34.6631     184.620
   0 25  1       34.6447     184.017
   0 25  2       34.6293     183.412
   0 25  3       34.6169     182.806
   0 25  4       34.6075     182.199
   0 25  5       34.6010     181.591
   0 25  6       34.5976     180.983
   0 25  7       34.5972     180.374
   0 25  8       34.5999     179.764
   0 25  9       34.6055     179.154
   0 25 10       34.6142     178.544
   0 25 11       34.6260     177.934
   0 25 12       34.6408     177.325
   0 25 13       34.6586     176.715
   0 25 14       34.6795     176.106
   0 25 15       34.7034     175.497
   0 25 16       34.7303     174.889
   0 25 17       34.7603     174.282
   0 25 18       34.7932     173.676
   0 25 19       34.8292     173.071
   0 25 20       34.8681     172.467
   0 25 21       34.9100     171.864
   0 25 22       34.9549     171.263
   0 25 23       35.0027     170.664
   0 25 24       35.0535     170.066
   0 25 25       35.1071     169.470
   0 25 26       35.1636     168.876
   0 25 27       35.2229     168.284
   0 25 28       35.2851     167.694
   0 25 29       35.3501     167.107
   0 25 30       35.4179     166.522
   0 25 31       35.4884     165.939
   0 26  0       35.0071     184.582
   0 26  1       34.9891     183.984
   0 26  2       34.9741     183.384
   0 26  3       34.9620     182.784
   0 26  4       34.9528     182.182
   0 26  5       34.9466     181.580
   0 26  6       34.9434     180.977
   0 26  7       34.9432     180.373
   0 26  8       34.9459     179.769
   0 26  9       34.9517     179.165
   0 26 10       34.9604     178.561
   0 26 11       34.9721     177.956
   0 26 12       34.9869     177.352
   0 26 13       35.0046     176.748
   0 26 14       35.0254     176.144
   0 26 15       35.0491     175.541
   0 26 16       35.0758     174.938
   0 26 17       35.1055     174.337
   0 26 18       35.1382     173.736
   0 26 19       35.1738     173.136
   0 26 20       35.2123     172.538
   0 26 21       35.2538     171.940
   0 26 22       35.2983     171.344
   0 26 23       35.3456     170.750
   0 26 24       35.3958     170.157
   0 26 25       35.4488     169.566
   0 26 26       35.5047     168.977
   0 26 27       35.5635     168.390
   0 26 28       35.6250     167.806
   0 26 29       35.6892     167.223
   0 26 30       35.7563     166.643
   0 26 31       35.8260     166.065
   0 27  0       35.3509     184.544
   0 27  1       35.3333     183.951
   0 27  2       35.3186     183.357
   0 27  3       35.3068     182.762
   0 27  4       35.2979     182.166
   0 27  5       35.2920     181.569
