* Forward Array time offsets
*    numdet         offset (ns)
         1             -3.21875
         2             -2.40625
         3              2.03125
         4             -2.21875
         5             -2.59375
         6             -2.09375
         7             -3.28125
         8             -2.53125
         9             -3.40625
        10              2.78125
        11             -3.78125
        12             -2.78125
        13             -3.46875
        14             -2.21875
        15             -4.15625
        16             -2.59375
        17             -12.1562
        18             -5.84375
