*Multiplicity	bhat	bhat error	b	b error
1	1	0.0110351	9.538558364	0.607865841
2	0.916558013	0.00918319	8.013138675	0.404985477
3	0.848097792	0.00831361	6.86079759	0.318205001
4	0.78478658	0.00752643	5.874702487	0.253086919
5	0.729066345	0.0070735	5.070103711	0.217498588
6	0.674865848	0.00672937	4.344278337	0.201277241
7	0.624932282	0.00631535	3.72519199	0.173595947
8	0.57125843	0.00600677	3.112776831	0.158635555
9	0.522400865	0.00560342	2.603097984	0.131467498
10	0.467279474	0.00524128	2.082745235	0.114827035
11	0.415631765	0.00494308	1.647783706	0.096480124
12	0.363764925	0.00455128	1.262188976	0.079085589
13	0.311569536	0.00425583	0.925961046	0.062417529
14	0.258035066	0.00384205	0.635097202	0.04800099
15	0.20587166	0.00369144	0.404274059	0.035706791
16	0.156903122	0.0035086	0.234825856	0.026440774
17	0.117081503	0.00330806	0.130755306	0.01773118
18	0.078451561	0.00345192	0.058706464	0.011310302
19	0.048764044	0.00350929	0.022682043	0.006587045
20	0.026446016	0.0043717	0.006671189	0.003912512
21	0.016725929	0.00592027	0.002668476	0.002766966
22	0.011827018	0.00591947	0.001334238	0.001461827
