*Multiplicity	bhat	bhat error	b	b error
1	1	0.171281	9.582195352	9.245273608
2	0.933810499	0.0764241	8.355693977	1.36426006
3	0.868659282	0.0683628	7.230427064	0.590670668
4	0.808669006	0.0635807	6.266234123	0.495292702
5	0.739637581	0.0581446	5.242071738	0.412214534
6	0.666217904	0.0523726	4.253021907	0.334337801
7	0.588618597	0.0462724	3.319960979	0.260988308
8	0.495301128	0.0389365	2.350734898	0.184795455
9	0.419377954	0.0329681	1.685296096	0.132484351
10	0.342053064	0.0268894	1.12111972	0.088133228
11	0.264953164	0.0208284	0.672671832	0.052879839
12	0.194273086	0.0152722	0.361651523	0.028430166
13	0.131762418	0.0103581	0.1663597	0.013077869
14	0.095173986	0.0074818	0.086796365	0.006823227
15	0.054948727	0.00431962	0.028932122	0.002274413
16	0.027474363	0.00215981	0.00723303	0.000568606
