*Multiplicity	bhat	bhat error	b	b error
1	1	0.244594	10.86285055	17.58377492
2	0.959515544	0.0809003	10.00110148	1.914349587
3	0.904226285	0.0729841	8.881740074	0.760614324
4	0.858139718	0.0691842	7.999444158	0.652651882
5	0.813348684	0.0655563	7.18616759	0.57975018
6	0.769213663	0.061998	6.427436344	0.518046204
7	0.709855836	0.0572138	5.47373943	0.441178948
8	0.653580502	0.0526781	4.640256413	0.374001219
9	0.585084773	0.0471574	3.718616538	0.299717758
10	0.503045033	0.0405451	2.748891105	0.221558834
11	0.42166575	0.0339859	1.931436607	0.155672155
12	0.339251756	0.0273434	1.250224526	0.100767032
13	0.259107809	0.0208839	0.72929764	0.058780867
14	0.206858705	0.0166727	0.464827067	0.037464819
15	0.148771737	0.0119909	0.240427793	0.019378321
16	0.09008576	0.00726085	0.088156858	0.00710539
17	0.066532743	0.00536249	0.048085559	0.003875672
18	0.054323757	0.00437846	0.032057039	0.002583782
19	0.027161879	0.00218923	0.00801426	0.000645948
