*F(0)/B(1)       tel     strip     Intercepts          Slope 
         1        11         2      -0.333738     0.00667703
         1        11         3      -0.430864     0.00716258
         1        11         4      -0.178992     0.00674877
         1        11         5      -0.365486     0.00712863
         1        11         6      -0.589695     0.00666312
         1        11         7      -0.381928     0.00713111
         1        11         8      -0.609146      0.0066372
         1        11         9      -0.368685     0.00716969
         1        11        10      -0.536265     0.00671718
         1        11        11      -0.673184     0.00721315
         1        11        12      -0.700837     0.00662475
         1        11        13      -0.618273     0.00719906
         1        11        14      -0.852978     0.00661853
         1        11        15      -0.524859     0.00720351
         1        11        16      -0.527784     0.00668382
         1        11        17      -0.644334     0.00720528
         1        11        18      -0.474725     0.00667187
         1        11        19      -0.355961     0.00723328
         1        11        20      -0.563299     0.00669944
         1        11        21      -0.471043     0.00722122
         1        11        22      -0.743174     0.00664032
         1        11        23      -0.543238     0.00716495
         1        11        24      -0.715754     0.00664127
         1        11        25      -0.616378     0.00717423
         1        11        26      -0.524428     0.00666391
         1        11        27      -0.821922     0.00718743
         1        11        28      -0.631189     0.00670031
         1        11        29      -0.520571     0.00722472
         1        11        30      -0.607224     0.00667809
         1        11        31      -0.682981     0.00727004
