*F(0)/B(1)       tel     strip     Intercepts          Slope 
         0         4        20        -1.0123     0.00718647
         0         4        21       -1.13056     0.00720093
         0         4        22       -1.04007     0.00720721
         0         4        23       -1.11198     0.00723711
         0         4        24       -1.11742     0.00719653
         0         4        25       -1.15786     0.00720861
         0         4        26       -1.08494     0.00720515
	 0         4        27        -1.1198     0.00719953
         0         4        28       -1.12086     0.00717601
         0         4        29       -1.21217     0.00720674
         0         4        30       -1.20165     0.00718927
         0         4        31       -1.09676     0.00715587
         0         5         0       -1.14045     0.00720727
         0         5         1       -1.34209     0.00733528
         0         5         2       -1.14011     0.00717382
         0         5         3       -1.30604     0.00735219
         0         5         4       -1.07944     0.00718348
         0         5         5       -1.20973     0.00733621
         0         5         6        -1.2242     0.00718785
         0         5         7       -1.21795     0.00732396
         0         5         8       -1.06896      0.0071749
         0         5         9       -1.28194      0.0073101
         0         5        10       -1.21408     0.00715085
         0         5        11       -1.27725     0.00732958
         0         5        12       -1.09676     0.00713898
         0         5        13       -1.17247     0.00734789
         0         5        14       -1.10628      0.0071512
         0         5        15       -1.22879     0.00730546
         0         5        16       -1.16068     0.00716314
         0         5        17       -1.23121     0.00732966
	 0         5        18       -1.11203     0.00713868
         0         5        19       -1.24285     0.00727193
         0         5        20       -1.14955     0.00721309
         0         5        21       -1.29419     0.00729201
         0         5        22       -1.16198     0.00717357
         0         5        23       -1.24013     0.00731696
         0         5        24       -1.14619     0.00715961
         0         5        25       -1.25321     0.00728417
         0         5        26       -1.25982     0.00713442
         0         5        27       -1.27679     0.00730618
         0         5        28       -1.15844     0.00713302
         0         5        29       -1.25393      0.0073019
         0         5        30       -1.20366     0.00715235
         0         5        31       -1.39875     0.00728529
         0         6         0       -1.05422     0.00777567
         0         6         1       -1.20126     0.00755032
         0         6         2       -1.09018     0.00785134
         0         6         3       -1.29506     0.00744573
         0         6         4       -1.16239     0.00784295
         0         6         5       -1.17747     0.00737097
         0         6         6       -1.20262     0.00789456
         0         6         7       -1.21152     0.00738265
         0         6         8       -1.33255     0.00782799
         0         6         9       -1.21407     0.00737574
         0         6        10        -1.0309     0.00782861
         0         6        11       -1.20678     0.00735336
         0         6        12       -1.11979     0.00779051
         0         6        14       -1.25198     0.00780495
         0         6        15       -1.08228     0.00735634
         0         6        16       -1.11302     0.00779607
         0         6        17       -1.21083     0.00733286
         0         6        18       -1.12825     0.00774527
         0         6        19       -1.17842     0.00726613
         0         6        20       -1.12661     0.00776654
         0         6        21       -1.18722     0.00735304
         0         6        22       -1.10024     0.00773247
         0         6        23       -1.07055      0.0072731
         0         6        24       -1.13142     0.00772149
         0         6        25       -1.18793     0.00728343
         0         6        26       -1.01407     0.00770626
         0         6        27       -1.18786     0.00730007
         0         6        28       -1.14839     0.00771082
         0         6        29       -1.07066     0.00724783
