*Multiplicity	bhat	bhat error	b	b error
1	1	0.00773938	9.751618994	0.442596973
2	0.909063982	0.00647038	8.058711843	0.284666712
3	0.833348539	0.00578875	6.772204765	0.220122256
4	0.769521292	0.00534352	5.774548143	0.180854915
5	0.711704164	0.00511604	4.93941752	0.164571095
6	0.654003914	0.0048952	4.170973395	0.149604755
7	0.602889305	0.00459398	3.544474721	0.130736087
8	0.552687132	0.00425669	2.978759437	0.109346969
9	0.496802015	0.00398307	2.406818949	0.090721151
10	0.437165768	0.00366021	1.863670024	0.075480361
11	0.378148508	0.00337569	1.394445379	0.061826566
12	0.320839805	0.00320049	1.003813917	0.048982242
13	0.264239303	0.00308224	0.680881533	0.03857803
14	0.212708536	0.00274042	0.441211233	0.027848464
15	0.159547032	0.00261819	0.248229953	0.019129861
16	0.11013242	0.00280148	0.118278849	0.013456659
17	0.077361347	0.0028375	0.058361274	0.008732049
18	0.048927612	0.00311089	0.02334451	0.005291788
19	0.02824837	0.00344589	0.007781503	0.002840367
20	0.012633055	0.0043543	0.001556301	0.001197668
