* FA Pulse Height correction with a [0]-[1]*exp(-[2]*x) formula
*sector             a0             a1             a2
    1        1.49998        2.74308    0.000149914
    2       0.993727        1.76201    0.000228857
    3         1.4989         2.2074    0.000358695
    4       0.802663        1.81162    0.000382663
    5            1.5        2.07517    0.000193412
    6       0.800001        2.18643    0.000391913
    7        1.31897        1.99465    0.000207035
    8            0.8        1.56768    0.000419465
    9       0.800003         2.2648    0.000421563
   10       0.905656        4.04079     0.00199872
   11       0.800001        1.70338    0.000397966
   12        1.43637         2.3566    0.000243044
   13        1.49999        2.21824    0.000204804
   14        1.15229         2.0522    0.000350097
   15        1.49997        2.01163    0.000102458
   16        1.49998         2.5264     0.00012237
   17        0.85886        1.64897    0.000133685
   18            0.8        1.32097    0.000533475
