*Tele   CsI  Peak     Voltage     Channel
0 2  23 0.639 805.2
0 2  24 0.688 862.4
0 2  25 0.737 918.6
0 2  26 0.786 974.6
0 2  27 0.835 1030.8
0 2  28 0.884 1086.7
0 2  29 0.933 1142.3
0 2  30 0.982 1199
0 2  31 1.031 1254.2
0 2  32 1.08 1309
0 2  33 1.129 1363.2
0 2  34 1.178 1416.8
0 2  35 1.227 1470
0 2  36 1.276 1523.6
0 2  37 1.325 1575.6
0 2  38 1.374 1627.2
0 2  39 1.423 1678.2
0 2  40 1.472 1730
0 2  41 1.521 1780.2
0 2  42 1.57 1830.2
0 2  43 1.619 1879.7
0 2  44 1.668 1930.2
0 2  45 1.717 1979.4
0 2  46 1.766 2028.2
0 2  47 1.815 2077.1
0 2  48 1.864 2126.9
0 2  49 1.913 2175.4
0 2  50 1.962 2224
0 2  51 2.011 2272.4
0 2  52 2.06 2321.6
0 2  53 2.109 2369.9
0 2  54 2.158 2418.1
0 2  55 2.207 2467.2
0 2  56 2.256 2515.2
0 2  57 2.305 2563.2
0 2  58 2.354 2611.1
0 2  59 2.403 2660.2
0 2  60 2.452 2708
0 2  61 2.501 2756
0 2  62 2.55 2803.8
0 2  63 2.599 2852.7
0 2  64 2.648 2900.4
0 2  65 2.697 2948.2
0 2  66 2.746 2996.9
0 2  67 2.795 3044.6
0 2  68 2.844 3092.2
0 2  69 2.893 3140
0 2  70 2.942 3188.8
0 2  71 2.991 3236.5
0 2  72 3.04 3284
0 2  73 3.089 3332.4
0 2  74 3.138 3380.3
0 2  75 3.187 3427.8
0 2  76 3.236 3475.3
0 2  77 3.285 3523.9
0 2  78 3.334 3571.4
0 2  79 3.383 3618.9
0 2  80 3.432 3666.7
0 2  81 3.481 3714.8
0 2  82 3.53 3762.1
0 2  83 3.579 3808.8
0 2  84 3.628 3856.1
0 2  85 3.677 3901.3
0 2  86 3.726 3946.4
0 2  87 3.775 3993.2
0 3  1 0.01 36.605
0 3  2 0.019 46.578
0 3  3 0.028 56.577
0 3  4 0.037 66.098
0 3  5 0.046 74.79
0 3  6 0.055 84.492
0 3  7 0.064 94.036
0 3  8 0.073 103.765
0 3  9 0.082 113.465
0 3  10 0.091 123.37
0 3  11 0.1 133.2
0 3  12 0.149 186.7
0 3  13 0.198 240.4
0 3  14 0.247 293.8
0 3  15 0.296 347.1
0 3  16 0.345 400.6
0 3  17 0.394 454.7
0 3  18 0.443 507.8
0 3  19 0.492 561.1
0 3  20 0.541 614.3
0 3  21 0.59 668
0 3  22 0.639 722
0 3  23 0.688 775.4
0 3  24 0.737 828.6
0 3  25 0.786 881.7
0 3  26 0.835 935
0 3  27 0.884 989
0 3  28 0.933 1041.8
0 3  29 0.982 1094.7
0 3  30 1.031 1147
0 3  31 1.08 1200
0 3  32 1.129 1251.6
0 3  33 1.178 1302.6
0 3  34 1.227 1353.1
0 3  35 1.276 1402.9
0 3  36 1.325 1453.3
0 3  37 1.374 1502.2
0 3  38 1.423 1550.6
0 3  39 1.472 1599.5
0 3  40 1.521 1647.5
0 3  41 1.57 1695
0 3  42 1.619 1742.1
0 3  43 1.668 1790
0 3  44 1.717 1836.8
0 3  45 1.766 1883.2
0 3  46 1.815 1930.4
0 3  47 1.864 1976.7
0 3  48 1.913 2022.8
0 3  49 1.962 2068.8
0 3  50 2.011 2115.7
0 3  51 2.06 2161.6
0 3  52 2.109 2207.4
0 3  53 2.158 2254.1
0 3  54 2.207 2299.9
0 3  55 2.256 2345.5
0 3  56 2.305 2392
0 3  57 2.354 2437.5
0 3  58 2.403 2482.9
0 3  59 2.452 2529.3
0 3  60 2.501 2574.8
0 3  61 2.55 2620.2
0 3  62 2.599 2666.4
0 3  63 2.648 2711.8
0 3  64 2.697 2757.2
0 3  65 2.746 2802.5
0 3  66 2.795 2848.7
0 3  67 2.844 2893.9
0 3  68 2.893 2939.1
0 3  69 2.942 2985.5
0 3  70 2.991 3030.6
0 3  71 3.04 3075.7
0 3  72 3.089 3121.8
0 3  73 3.138 3167
0 3  74 3.187 3212.1
0 3  75 3.236 3258.2
0 3  76 3.285 3303.2
0 3  77 3.334 3348.2
0 3  78 3.383 3394.3
0 3  79 3.432 3439.3
0 3  80 3.481 3484.2
0 3  81 3.53 3530.4
0 3  82 3.579 3575.3
0 3  83 3.628 3620.4
0 3  84 3.677 3666.1
0 3  85 3.726 3711.2
0 3  86 3.775 3756.1
0 3  87 3.824 3801.1
0 3  88 3.873 3847
0 3  89 3.922 3891.6
0 3  90 3.971 3936.3
0 3  91 4.02 3981.8
1 0  1 0.01 95.273
1 0  2 0.019 105.751
1 0  3 0.028 116.137
1 0  4 0.037 126.373
1 0  5 0.046 135.886
1 0  6 0.051 142
1 0  7 0.055 146.585
1 0  8 0.064 157.361
1 0  9 0.073 168.177
1 0  10 0.082 179.254
1 0  11 0.091 190.09
1 0  12 0.1 200.5
1 0  13 0.149 259.8
1 0  14 0.198 318.2
1 0  15 0.247 376.3
1 0  16 0.296 434.4
1 0  17 0.345 492.5
1 0  18 0.394 550.6
1 0  19 0.443 608.7
1 0  20 0.492 667.5
1 0  21 0.541 726
1 0  22 0.59 784.2
1 0  23 0.639 842.1
1 0  24 0.688 900.1
1 0  25 0.737 958.3
1 0  26 0.786 1016
1 0  27 0.835 1074.2
