*tel crystal Point_Num Voltage Channel
0 0  1 0.01 80.997
0 0  1 0.019 88.425
0 0  2 0.028 95.741
0 0  3 0.037 103.097
0 0  4 0.046 110.839
0 0  5 0.051 115.2
0 0  6 0.055 118.427
0 0  7 0.064 126.036
0 0  8 0.073 133.67
0 0  9 0.082 140.521
0 0  10 0.091 148.416
0 0  11 0.1 156.4
0 0  12 0.149 199.7
0 0  13 0.198 242.2
0 0  14 0.247 284.4
0 0  15 0.296 327.6
0 0  16 0.345 369.6
0 0  17 0.394 411.7
0 0  18 0.443 454.7
0 0  19 0.492 496.5
0 0  20 0.541 538.5
0 0  21 0.59 581.4
0 0  22 0.639 623.4
0 0  23 0.688 666.5
0 0  24 0.737 708.4
0 0  25 0.786 750.3
0 0  26 0.835 793.4
0 0  27 0.884 835.1
0 0  28 0.933 876.6
0 0  29 0.982 919.1
0 0  30 1.031 960.2
0 0  31 1.08 1001.3
0 0  32 1.129 1042.9
0 0  33 1.178 1082.9
0 0  34 1.227 1123.6
0 0  35 1.276 1163
0 0  36 1.325 1201.8
0 0  37 1.374 1241.4
0 0  38 1.423 1279.4
0 0  39 1.472 1318.3
0 0  40 1.521 1356
0 0  41 1.57 1394.3
0 0  42 1.619 1431.3
0 0  43 1.668 1468.2
0 0  44 1.717 1506
0 0  45 1.766 1542.6
0 0  46 1.815 1580
0 0  47 1.864 1616.4
0 0  48 1.913 1653.8
0 0  49 1.962 1690
0 0  50 2.011 1727.1
0 0  51 2.06 1763.1
0 0  52 2.109 1800.1
0 0  53 2.158 1836
0 0  54 2.207 1872
0 0  55 2.256 1908.8
0 0  56 2.305 1944.7
0 0  57 2.354 1981.5
0 0  58 2.403 2017.3
0 0  59 2.452 2053.9
0 0  60 2.501 2089.6
0 0  61 2.55 2126.4
0 0  62 2.599 2162
0 0  63 2.648 2198.7
0 0  64 2.697 2234.3
0 0  65 2.746 2269.9
0 0  66 2.795 2306.5
0 0  67 2.844 2342.1
0 0  68 2.893 2378.6
0 0  69 2.942 2414.2
0 0  70 2.991 2450.7
0 0  71 3.04 2486.3
0 0  72 3.089 2522.7
0 0  73 3.138 2558.3
0 0  74 3.187 2594.7
0 0  75 3.236 2630.1
0 0  76 3.285 2666.7
0 0  77 3.334 2702
0 0  78 3.383 2737.6
0 0  79 3.432 2774
0 0  80 3.481 2809.4
0 0  81 3.53 2845.9
0 0  82 3.579 2881.2
0 0  83 3.628 2917.6
0 0  84 3.677 2953
0 0  85 3.726 2989.4
0 0  86 3.775 3024.7
0 0  87 3.824 3061.1
0 0  88 3.873 3096.5
0 0  89 3.922 3132.8
0 0  90 3.971 3168.2
0 0  91 4.02 3203.4
0 0  92 4.069 3239.8
0 0  93 4.118 3275.1
0 0  94 4.167 3311.5
0 0  95 4.216 3346.7
0 0  96 4.265 3383
0 0  97 4.314 3418.5
0 0  98 4.363 3454.7
0 0  99 4.412 3489.9
0 0  100 4.461 3526.1
0 0  101 4.51 3561.4
0 0  102 4.559 3597.7
0 0  103 4.608 3632.9
0 0  104 4.657 3668.1
0 0  105 4.706 3704.4
0 0  106 4.755 3739.5
0 0  107 4.804 3775.3
0 0  108 4.853 3809.9
0 0  109 4.902 3845.1
0 1  1 0.01 67.831
0 1  2 0.019 74.861
0 1  3 0.028 82.056
0 1  4 0.037 89
0 1  5 0.046 96.397
0 1  6 0.055 103.68
0 1  7 0.064 110.861
0 1  8 0.073 118.308
0 1  9 0.082 125.791
0 1  10 0.091 133.175
0 1  11 0.1 139.8
0 1  12 0.149 181.5
0 1  13 0.198 222
0 1  14 0.247 263.5
0 1  15 0.296 303.9
0 1  16 0.345 344.2
0 1  17 0.394 385.4
0 1  18 0.443 425.6
0 1  19 0.492 466.7
0 1  20 0.541 507
0 1  21 0.59 547.2
0 1  22 0.639 588.4
0 1  23 0.688 628.7
0 1  24 0.737 668.8
0 1  25 0.786 710
0 1  26 0.835 750.3
0 1  27 0.884 791.3
0 1  28 0.933 831.2
0 1  29 0.982 870.9
0 1  30 1.031 911.3
0 1  31 1.08 950.5
0 1  32 1.129 990.4
0 1  33 1.178 1028.8
0 1  34 1.227 1067.3
0 1  35 1.276 1105.4
0 1  36 1.325 1142.6
0 1  37 1.374 1180.6
0 1  38 1.423 1217
0 1  39 1.472 1254.4
0 1  40 1.521 1290.4
0 1  41 1.57 1327.1
0 1  42 1.619 1362.6
0 1  43 1.668 1398.9
0 1  44 1.717 1434.1
0 1  45 1.766 1469.1
0 1  46 1.815 1505.1
0 1  47 1.864 1539.9
0 1  48 1.913 1575.8
0 1  49 1.962 1610.4
0 1  50 2.011 1646
0 1  51 2.06 1680.5
0 1  52 2.109 1716.2
0 1  53 2.158 1750.5
0 1  54 2.207 1786
0 1  55 2.256 1820.4
0 1  56 2.305 1855.8
0 1  57 2.354 1890
0 1  58 2.403 1925.3
0 1  59 2.452 1959.5
0 1  60 2.501 1994.7
0 1  61 2.55 2028.9
0 1  62 2.599 2064
0 1  63 2.648 2098.1
0 1  64 2.697 2133.1
0 1  65 2.746 2167.4
0 1  66 2.795 2201.5
0 1  67 2.844 2236.7
0 1  68 2.893 2270.7
0 1  69 2.942 2305.9
0 1  70 2.991 2340
0 1  71 3.04 2374.9
0 1  72 3.089 2409
0 1  73 3.138 2444
0 1  74 3.187 2478
0 1  75 3.236 2512.8
0 1  76 3.285 2546.8
0 1  77 3.334 2581.7
0 1  78 3.383 2615.7
0 1  79 3.432 2650.6
0 1  80 3.481 2684.6
0 1  81 3.53 2719.5
0 1  82 3.579 2753.5
0 1  83 3.628 2788.4
0 1  84 3.677 2822.4
0 1  85 3.726 2857.2
0 1  86 3.775 2891
0 1  87 3.824 2926
0 1  88 3.873 2959.8
0 1  89 3.922 2994.6
0 1  90 3.971 3028.5
0 1  91 4.02 3063.2
0 1  92 4.069 3097
0 1  93 4.118 3131.9
0 1  94 4.167 3165.7
0 1  95 4.216 3200.2
0 1  96 4.265 3234.3
0 1  97 4.314 3268.2
0 1  98 4.363 3302.9
0 1  99 4.412 3336.8
0 1  100 4.461 3371.4
0 1  101 4.51 3405.2
0 1  102 4.559 3439.9
0 1  103 4.608 3473.6
0 1  104 4.657 3508.2
0 1  105 4.706 3542.1
0 1  106 4.755 3576.8
0 1  107 4.804 3610.3
0 1  108 4.853 3644.8
0 1  109 4.902 3678.7
0 2  1 0.01 79.53
0 2  2 0.019 86.588
0 2  3 0.028 93.681
0 2  4 0.037 100.725
0 2  5 0.046 108.064
0 2  6 0.055 115.374
0 2  7 0.064 122.596
0 2  8 0.073 130.036
0 2  9 0.082 136.428
0 2  10 0.091 143.91
0 2  11 0.1 151.4
0 2  12 0.149 192.7
0 2  13 0.198 233.1
0 2  14 0.247 273.3
0 2  15 0.296 314.4
0 2  16 0.345 354.5
0 2  17 0.394 395.5
0 2  18 0.443 435.5
0 2  19 0.492 475.5
0 2  20 0.541 516.5
0 2  21 0.59 556.4
0 2  22 0.639 597.5
0 2  23 0.688 637.5
0 2  24 0.737 677.4
0 2  25 0.786 718.5
0 2  26 0.835 758.5
0 2  27 0.884 799.2
0 2  28 0.933 838.9
0 2  29 0.982 878.4
0 2  30 1.031 918.6
0 2  31 1.08 957.6
0 2  32 1.129 997.2
0 2  33 1.178 1035.4
0 2  34 1.227 1073.2
0 2  35 1.276 1111.8
0 2  36 1.325 1148.7
0 2  37 1.374 1186.5
0 2  38 1.423 1222.8
0 2  39 1.472 1259.8
0 2  40 1.521 1295.6
0 2  41 1.57 1332.1
0 2  42 1.619 1367.5
0 2  43 1.668 1402.6
0 2  44 1.717 1438.6
0 2  45 1.766 1473.4
0 2  46 1.815 1509.1
0 2  47 1.864 1543.7
0 2  48 1.913 1579.3
0 2  49 1.962 1613.8
0 2  50 2.011 1649
0 2  51 2.06 1683.4
0 2  52 2.109 1718.7
0 2  53 2.158 1752.8
0 2  54 2.207 1788.2
0 2  55 2.256 1822.2
0 2  56 2.305 1857.3
0 2  57 2.354 1891.4
0 2  58 2.403 1926.5
0 2  59 2.452 1960.4
0 2  60 2.501 1995.3
0 2  61 2.55 2029.2
0 2  62 2.599 2064.2
0 2  63 2.648 2098.2
0 2  64 2.697 2133
0 2  65 2.746 2166.9
0 2  66 2.795 2200.9
0 2  67 2.844 2235.7
0 2  68 2.893 2269.5
0 2  69 2.942 2304.4
0 2  70 2.991 2338.3
0 2  71 3.04 2372.9
0 2  72 3.089 2406.7
0 2  73 3.138 2441.5
0 2  74 3.187 2475.2
0 2  75 3.236 2509.9
0 2  76 3.285 2543.6
0 2  77 3.334 2578.2
0 2  78 3.383 2612
0 2  79 3.432 2646.8
0 2  80 3.481 2680.4
0 2  81 3.53 2715.1
0 2  82 3.579 2748.8
0 2  83 3.628 2783.6
0 2  84 3.677 2817.2
0 2  85 3.726 2851.8
0 2  86 3.775 2885.5
0 2  87 3.824 2920.2
0 2  88 3.873 2953.7
0 2  89 3.922 2988.2
0 2  90 3.971 3021.9
0 2  91 4.02 3056.4
0 2  92 4.069 3090
0 2  93 4.118 3124.5
0 2  94 4.167 3158.2
0 2  95 4.216 3192.7
0 2  96 4.265 3226.3
0 2  97 4.314 3261.1
0 2  98 4.363 3294.5
0 2  99 4.412 3329.1
0 2  100 4.461 3362.5
0 2  101 4.51 3397.1
0 2  102 4.559 3430.6
0 2  103 4.608 3465
0 2  104 4.657 3498.4
0 2  105 4.706 3533.1
0 2  106 4.755 3566.5
0 2  107 4.804 3600.4
0 2  108 4.853 3634.2
0 2  109 4.902 3667.7
0 3  1 0.01 33.058
0 3  2 0.019 40.39
