*Multiplicity	bhat	bhat error	b	b error
1	1	0.0122893	10.62680771	0.790816689
2	0.914680816	0.0107452	8.890822978	0.5903481
3	0.858330824	0.0100065	7.829107202	0.500877812
4	0.813550888	0.00913749	7.03351259	0.403777751
5	0.776252103	0.00870389	6.403367116	0.357450741
6	0.740832678	0.00844533	5.832343352	0.335031687
7	0.705790584	0.00805735	5.293641688	0.297976167
8	0.667271276	0.00788225	4.731596285	0.285804691
9	0.632027327	0.00747043	4.244969115	0.249866238
10	0.592563493	0.00696229	3.731406861	0.209974094
11	0.545960736	0.006687	3.167565786	0.191946378
12	0.502443716	0.00627927	2.682734288	0.164763611
13	0.456080125	0.00594262	2.210472496	0.143241679
14	0.410037579	0.00540365	1.786693853	0.113998944
15	0.356231311	0.00521792	1.348549833	0.099989314
16	0.310620543	0.00476524	1.025328834	0.078282795
17	0.260306077	0.00430469	0.720064558	0.058556493
18	0.205943923	0.00426041	0.450713726	0.046762201
19	0.163911975	0.00385144	0.285511882	0.032430549
20	0.117711541	0.00410206	0.147245122	0.024157057
21	0.08720038	0.00423709	0.08080525	0.017252624
22	0.062341326	0.0049632	0.041300461	0.013153608
23	0.046868796	0.00430112	0.023343739	0.00751061
24	0.022515041	0.00796308	0.005387017	0.005588072
25	0.018383454	0.00650184	0.003591344	0.002783149
