5
1 1
25
10.1653 7.57752
17.2456 5.58872
33.5977 3.33877
67.1448 1.75175
118.73 1.06873
172.001 0.867839
208.919 0.928106
215.157 1.04864
209.088 1.41024
194.759 1.67139
172.001 1.79193
143.342 1.97273
118.561 2.25397
90.4086 2.75619
68.3248 3.29859
41.6894 4.64455
30.0575 5.86997
19.2685 8.03956
11.1767 10.4904
5.44508 13.2627
0.38773 15.1309
0.38773 13.4636
3.42214 10.7516
6.62513 8.60205
10.1653 7.57752
1 2
30
4.27886 15.7535
11.0596 12.733
19.7108 9.6837
28.1282 7.67003
36.5456 6.34676
50.8085 5.1098
71.1506 3.75776
91.0251 3.09613
111.601 2.57832
149.246 2.06052
188.293 1.88792
264.985 1.34136
314.788 1.37012
333.727 1.37012
329.753 1.85916
295.381 1.97422
263.816 2.08929
219.858 2.31942
169.354 2.75092
126.098 3.32626
90.3236 4.21803
65.539 5.33993
49.1718 6.60566
31.4017 8.9933
17.8403 12.2152
9.42284 15.8685
0.53778 20.5
0.303962 18.2562
2.87595 16.7315
4.27886 15.7535
1 3
26
8.61374 17.2366
15.4886 13.9317
26.4074 10.9156
40.9658 8.54128
55.9287 6.74447
82.2147 4.91557
121.442 3.63213
174.418 2.82998
246.806 2.25243
363.273 1.70697
460.734 1.28986
500.77 1.51446
491.064 2.60538
382.28 2.82998
274.71 3.31127
212.836 3.66422
147.728 4.43428
100.817 5.78189
64.4211 8.05999
41.7746 10.7231
23.981 14.3168
9.82694 19.258
1.73892 24.5201
0 22.98
4.97413 18.6163
8.61374 17.2366
2 3
31
27.408 33.3256
50.1366 25.8317
85.5665 19.9115
148.404 14.0663
243.998 10.3943
310.179 9.04545
399.088 7.69656
519.416 6.27273
651.776 5.59828
795.501 4.92383
1000.06 4.39926
1101 4.32432
1101 5.29853
943.906 5.52334
802.855 6.04791
682.527 6.72236
564.204 7.54668
424.49 9.19533
333.576 10.5442
246.672 12.4926
166.454 15.4152
108.295 19.9115
66.8489 25.9816
22.0601 40.8943
8.02186 49.0627
2.00546 55.1327
0.00000 50.7862
4.67942 45.5405
12.0328 40.8943
20.7231 36.2482
27.408 33.3256
2 4
33
40.1093 35.1241
69.5228 27.5553
105.621 21.6351
152.415 17.3636
223.944 13.9165
306.168 11.6683
441.202 9.04545
562.867 7.92138
687.206 7.02211
802.186 6.19779
952.596 5.52334
1111.03 5.37346
1119.72 6.49754
978.667 7.32187
859.008 7.69656
723.973 8.52088
609.662 9.34521
502.703 10.6192
400.425 12.1179
307.505 14.0663
207.9 17.4386
145.062 21.2604
101.61 25.9066
56.153 35.1241
31.419 43.8919
15.3752 52.285
2.67395 60.9779
0.00000 56.4066
4.67942 52.6597
12.7013 47.414
25.4026 41.4189
32.0874 38.4214
40.1093 35.1241
