*    FB  Tele Strip  Intertcept   	Slope
     1    10    26   -0.866374    0.00693269
     1    10    27   -0.503339    0.00689797
     1    10    28   -0.743342    0.00694933
     1    10    29   -0.679787    0.00686552
     1    10    30   -0.617958    0.00700873
     1    10    31   -0.610803    0.00686394
     1    11     0   -0.373829    0.00666594
     1    11     1   -0.272613    0.00709101
     1    11     2   -0.337079    0.00667352
     1    11     3   -0.424782    0.00715221
     1    11     4   -0.184130    0.00674474
     1    11     5   -0.348484    0.00710717
     1    11     6   -0.610038    0.00667417
     1    11     7   -0.373212    0.00711796
     1    11     8   -0.621186    0.00664231
     1    11     9   -0.340747    0.00713575
     1    11    10   -0.540019    0.00671627
     1    11    11   -0.659092    0.00719053
     1    11    12   -0.712044    0.00662849
     1    11    13   -0.598498    0.00717375
     1    11    14   -0.853657    0.00661303
     1    11    15   -0.534865    0.00720590
     1    11    16   -0.545491    0.00669312
     1    11    17   -0.649183    0.00720360
     1    11    18   -0.485803    0.00667709
     1    11    19   -0.336915    0.00721011
     1    11    20   -0.572267    0.00670167
     1    11    21   -0.444870    0.00719094
     1    11    22   -0.758003    0.00664417
     1    11    23   -0.544929    0.00715891
     1    11    24   -0.724080    0.00664202
     1    11    25   -0.617316    0.00716775
     1    11    26   -0.536571    0.00666852
     1    11    27   -0.818541    0.00717613
     1    11    28   -0.637134    0.00669994
     1    11    29   -0.516050    0.00721577
     1    11    30   -0.617577    0.00667983
     1    11    31   -0.636427    0.00722868
