*    FB  Tele Strip  Intertcept   	Slope
     0     5     7   -1.123089    0.00705721
     0     5     8   -1.091384    0.00719483
     0     5     9   -1.120142    0.00705840
     0     5    10   -1.058867    0.00723689
     0     5    11   -1.167826    0.00708253
     0     5    12   -1.153605    0.00723195
     0     5    13   -1.096727    0.00708225
     0     5    14   -1.145606    0.00724510
     0     5    15   -1.074847    0.00710332
     0     5    16   -1.020679    0.00725920
     0     5    17   -1.163304    0.00709878
     0     5    18   -1.095488    0.00719661
     0     5    19   -1.138940    0.00707874
     0     5    20   -1.153694    0.00719002
     0     5    21   -1.285735    0.00710518
     0     5    22   -1.137660    0.00723512
     0     5    23   -1.193953    0.00708025
     0     5    24   -1.051715    0.00723058
     0     5    25   -1.116370    0.00707688
     0     5    26   -1.145133    0.00723135
     0     5    27   -1.046523    0.00709667
     0     5    28   -1.122990    0.00720248
     0     5    29   -1.219604    0.00710555
     0     5    30   -1.164105    0.00722564
     0     5    31   -1.281806    0.00718358
     0     6     0   -1.054904    0.00777298
     0     6     1   -7.697213    0.01565340
     0     6     2   -1.056607    0.00783564
     0     6     3   -1.145485    0.00734691
     0     6     4   -1.131427    0.00782764
     0     6     5   -0.997754    0.00725123
     0     6     6   -1.173174    0.00788227
     0     6     7   -1.007312    0.00723196
     0     6     8   -1.296227    0.00780583
     0     6     9   -1.116471    0.00732853
     0     6    10   -1.015063    0.00782771
     0     6    11   -1.083812    0.00728494
     0     6    12   -1.092360    0.00777801
     0     6    13   -0.981681    0.00735625
     0     6    14   -1.230311    0.00779909
     0     6    15   -0.934692    0.00726934
     0     6    16   -1.081592    0.00777750
     0     6    17   -1.069138    0.00725678
     0     6    18   -1.107936    0.00773749
     0     6    19   -1.023659    0.00719848
     0     6    20   -1.121488    0.00777487
     0     6    21   -1.058110    0.00727913
     0     6    22   -1.083685    0.00772851
     0     6    23   -0.893300    0.00716600
     0     6    24   -1.119610    0.00772102
     0     6    25   -1.060720    0.00721522
