*Multiplicity	bhat	bhat error	b	b error
1	1	0.119433	10.34572937	6.692659778
2	0.913857885	0.063772	8.640093453	1.144641261
3	0.841146642	0.0568667	7.319889828	0.508876922
4	0.768051686	0.0518914	6.102980854	0.414096601
5	0.685193546	0.0462883	4.857218499	0.328225351
6	0.600607016	0.0405738	3.732002417	0.252114157
7	0.522799119	0.0353175	2.827683567	0.191023131
8	0.456166278	0.0308162	2.152818754	0.145433152
9	0.369233399	0.0249434	1.41046746	0.095283523
10	0.301116973	0.0203419	0.93806209	0.063370618
11	0.231278234	0.0156239	0.553389147	0.037383973
12	0.176949139	0.0119537	0.32393511	0.021883264
13	0.119795134	0.00809272	0.148470259	0.010029866
14	0.072239184	0.00488009	0.053989185	0.003647226
15	0.044237285	0.00298844	0.020245944	0.001367717
16	0.025540408	0	0.006748648	0
17	0.025540408	0.00172538	0.006748648	0.000455909
