*telescope      Si num    F(1)B(0)      Intercept            Slope  SaturationPoint    Para_constant      Para_Linear   Para_quadratic         CHI2dof
         2          26           1        89.3933          3.77651          1519.22               -1               -1               -1          0.63047
         2          27           1        47.6312          3.79387             1200               -1               -1               -1         0.048704
         2          28           1         72.299          3.80959             1200               -1               -1               -1         0.210986
         2          29           1        58.3144          3.79797             1200               -1               -1               -1        0.0784196
         2          30           1        98.4203          3.78088          1502.65               -1               -1               -1         0.372306
         2          31           1        64.0031           3.7953          1502.18               -1               -1               -1         0.345687
         3           0           1        25.9866          3.83708             1200               -1               -1               -1         0.143878
         3           1           1        117.812          3.83023             1200               -1               -1               -1         0.160106
         3           2           1        30.8355          3.80713           1501.8               -1               -1               -1         0.245402
         3           3           1         176.79          3.81015             1200               -1               -1               -1         0.205053
         3           4           1        68.3619          3.81673             1200               -1               -1               -1         0.234541
         3           5           1        138.741          3.80942          1502.95               -1               -1               -1         0.367266
         3           6           1        38.8354          3.83574             1200               -1               -1               -1         0.232319
         3           7           1        93.0646          3.86512          1500.95               -1               -1               -1         0.117133
         3           8           1         61.064          3.82166             1200               -1               -1               -1          0.16317
         3           9           1        110.229          3.89507             1200               -1               -1               -1         0.060029
         3          10           1        52.6441          3.84961          1501.82               -1               -1               -1         0.204739
         3          11           1        50.5768          3.81646             1200               -1               -1               -1        0.0606459
         3          12           1         94.609          3.83641           1501.8               -1               -1               -1         0.312039
         3          13           1        111.268          3.83647          1521.49               -1               -1               -1         0.154428
         3          14           1        30.5981          3.82983             1502               -1               -1               -1         0.109651
         3          15           1        132.627          3.85046             1200               -1               -1               -1        0.0544749
         3          16           1        94.7486          3.81404          1501.97               -1               -1               -1         0.526342
         3          17           1        98.1905          3.83873             1200               -1               -1               -1         0.361057
         3          18           1        68.0371          3.78799          1512.02               -1               -1               -1          0.43913
         3          19           1        73.8968          3.83198             1200               -1               -1               -1         0.122813
         3          20           1         12.129          3.81705             1200               -1               -1               -1         0.156002
         3          21           1        61.9671          3.81885             1200               -1               -1               -1         0.113542
         3          22           1         45.403          3.84155          1502.38               -1               -1               -1         0.154341
         3          23           1        58.9628          3.82175             1200               -1               -1               -1         0.118037
         3          24           1        81.1358          3.84829             1200               -1               -1               -1         0.233222
         3          25           1        37.2045          3.80693             1200               -1               -1               -1         0.074556
         3          26           1        40.2996          3.82791          1598.06               -1               -1               -1         0.335521
         3          27           1        100.129          3.81586             1200               -1               -1               -1         0.211757
         3          28           1        49.8477          3.84121          1516.94               -1               -1               -1         0.092144
         3          29           1        104.374          3.77534          1502.18               -1               -1               -1         0.459001
         3          30           1        5.70189          3.83144             1501               -1               -1               -1         0.371654
         3          31           1        91.8941            3.773          1869.41               -1               -1               -1         0.695678
         4           0           1        54.0124          3.83751          1502.24               -1               -1               -1         0.237764
         4           1           1        87.6526           3.8362             1200               -1               -1               -1         0.143826
         4           2           1        90.2833          3.85868             1200               -1               -1               -1         0.115687
         4           3           1        103.159          3.82018             1200               -1               -1               -1          0.24088
         4           4           1        51.1106          3.84857          1502.63               -1               -1               -1          0.19766
         4           5           1        100.397          3.85425             1200               -1               -1               -1         0.161598
         4           6           1        91.7061           3.8482             1200               -1               -1               -1          0.19431
         4           7           1        73.0077          3.86671          1521.68               -1               -1               -1        0.0967326
         4           8           1        104.096          3.89982             1200               -1               -1               -1        0.0755017
         4           9           1        56.7518           3.8893             1200               -1               -1               -1         0.106391
         4          10           1        77.7457          3.85457          1502.57               -1               -1               -1         0.153158
         4          11           1        148.215          3.84471             1200               -1               -1               -1        0.0768603
         4          12           1        135.796          3.82072          1503.12               -1               -1               -1          0.24235
         4          13           1        114.345          3.85784             1200               -1               -1               -1         0.107381
         4          14           1        126.933          3.78811             1200               -1               -1               -1         0.316805
         4          15           1        59.2504          3.81845          1502.66               -1               -1               -1         0.118186
         4          16           1        74.6306          3.78442             1200               -1               -1               -1         0.271287
         4          17           1        47.4486          3.79069          1501.54               -1               -1               -1         0.118307
         4          18           1        64.3995          3.81811          1527.98               -1               -1               -1         0.175765
         4          19           1        66.9472          3.77847             1200               -1               -1               -1         0.159716
         4          20           1        56.8777          3.83055          1502.19               -1               -1               -1         0.679041
         4          21           1        79.4836          3.83893             1200               -1               -1               -1        0.0746908
         4          22           1         51.876          3.80543             1200               -1               -1               -1        0.0907817
         4          23           1        64.7989          3.82109             1200               -1               -1               -1         0.302273
         4          24           1         58.055          3.80118             1200               -1               -1               -1         0.235629
         4          25           1        17.7671           3.8133             1200               -1               -1               -1        0.0898169
         4          26           1        66.3186          3.81382          1520.23               -1               -1               -1         0.570723
         4          27           1        4.94721          3.81861          1502.04               -1               -1               -1         0.330001
         4          28           1        47.5448          3.82153             1200               -1               -1               -1         0.166114
         4          29           1        149.079          3.80974          1501.04               -1               -1               -1         0.319818
         4          30           1        33.4371          3.81133             1200               -1               -1               -1         0.263827
         4          31           1        79.1137          3.82645             1200               -1               -1               -1        0.0900444
         5           0           1        154.515          3.80347             1200               -1               -1               -1        0.0458794
         5           1           1        57.6848          3.85962             1200               -1               -1               -1           0.1309
         5           2           1        132.623          3.79947          1501.93               -1               -1               -1         0.082147
         5           3           1        123.648          3.85728             1200               -1               -1               -1        0.0805677
         5           4           1        60.0607          3.79075          1509.55               -1               -1               -1         0.136356
         5           5           1        135.086           3.8945             1200               -1               -1               -1        0.0767952
         5           6           1        205.373          3.81596          1529.45               -1               -1               -1         0.220207
