*Multiplicity	bhat	bhat error	b	b error
1	1	0.0091982	10.17438186	0.470622592
2	0.891438424	0.00860932	8.08519936	0.417311713
3	0.828875287	0.00782052	6.990148726	0.329935483
4	0.773019391	0.00734642	6.079793242	0.284277387
5	0.720488603	0.00697454	5.281560567	0.251201046
6	0.667389798	0.00654207	4.531762702	0.215115574
7	0.609368221	0.00605815	3.778049444	0.179003434
8	0.544853455	0.00569811	3.020420792	0.153890944
9	0.482285086	0.00515504	2.366550069	0.12086251
10	0.410517886	0.00474537	1.714637043	0.096626641
11	0.340581599	0.00455757	1.180185824	0.07963567
12	0.273233886	0.00406953	0.759586349	0.056220702
13	0.210369422	0.00389479	0.450270258	0.041091734
14	0.155705505	0.00383568	0.246669794	0.028966111
15	0.110100419	0.00393738	0.123334897	0.019774235
16	0.0746995	0.0038475	0.056773206	0.011932948
17	0.041614047	0.0044805	0.017619271	0.006824148
18	0.024025881	0.00547685	0.00587309	0.004014452
19	0.013871349	0.0063215	0.001957697	0.00199473
