*Multiplicity	bhat	bhat error	b	b error
1	1	0.0121759	8.434094037	0.619441414
2	0.913311219	0.0102898	7.035193132	0.40004318
3	0.836716124	0.00930962	5.904657546	0.316013099
4	0.771187729	0.00858309	5.016013082	0.260715516
5	0.710306349	0.00814129	4.255296558	0.2393853
6	0.651724723	0.00758488	3.582340239	0.208332408
7	0.594769239	0.00709889	2.983564538	0.181389606
8	0.539428062	0.00666906	2.4541749	0.155987406
9	0.483318649	0.00614167	1.970178361	0.129121377
10	0.423835072	0.005716	1.515068339	0.108673236
11	0.367004329	0.00515632	1.136006494	0.085906342
12	0.307069234	0.00472001	0.795263498	0.068372037
13	0.251231566	0.00426976	0.532337241	0.051417295
14	0.196070237	0.00384735	0.324236415	0.036211708
15	0.141388259	0.00355097	0.168602936	0.024637478
16	0.096054407	0.00358982	0.07781674	0.016867755
17	0.065830352	0.00361491	0.036550287	0.010646258
18	0.040095372	0.00394959	0.013558977	0.006609909
19	0.025081389	0.00449967	0.005305687	0.004344302
20	0.016720926	0.00538484	0.002358083	0.003073963
21	0.01182348	0	0.001179042	0
22	0.01182348	0.00717753	0.001179042	0.002224539
23	0.008360463	0.00717709	0.000589521	0.001168411
