*Multiplicity	bhat	bhat error	b	b error
1	1	0.0135269	10.6635452	0.946002771
2	0.930030987	0.0115856	9.223514844	0.693825531
3	0.88210801	0.0104474	8.297459572	0.531091399
4	0.83588553	0.00958213	7.450668286	0.433089373
5	0.7973363	0.00902119	6.779297402	0.366081822
6	0.756233937	0.00873929	6.098372391	0.352725559
7	0.71865223	0.00844796	5.507305519	0.323515715
8	0.680233505	0.00810478	4.934210274	0.301331195
9	0.642723828	0.0077929	4.405045676	0.272176208
10	0.603816008	0.00736694	3.887862163	0.238953139
11	0.561722215	0.00715545	3.364688107	0.222398468
12	0.52269614	0.00657298	2.913400563	0.180608055
13	0.474234506	0.00620778	2.398213897	0.158345164
14	0.427072026	0.00584772	1.944929505	0.137043576
15	0.380953965	0.00552002	1.547556844	0.112889658
16	0.332107967	0.00532351	1.176143202	0.097083604
17	0.288345469	0.00467275	0.886600308	0.073704641
18	0.237413218	0.00436276	0.60105111	0.055988767
19	0.187129583	0.00397112	0.37341049	0.040278314
20	0.138204356	0.00435742	0.203678449	0.033274319
21	0.110326115	0.004035	0.12979509	0.022217141
22	0.076190793	0.00399528	0.061902274	0.014222273
23	0.047403703	0.00376203	0.02396217	0.007629179
24	0.019352481	0.00567145	0.003993695	0.004066099
25	0.01368427	0	0.001996848	0
26	0.01368427	0.00694355	0.001996848	0.00219487
